generacion,avg,max
0,-2199259.319162088,-802000.0
1,-1637951.3625,-234600.0
2,-1391584.04375,-183950.0
3,-1185484.6125,201750.0
4,-998663.13125,233250.0
5,-825935.39375,455800.0
6,-700773.775,508350.0
7,-633458.93125,620650.0
8,-588375.325,507050.0
9,-554119.93125,712500.0
10,-562433.0625,657000.0
11,-508420.03125,721650.0
12,-517512.23125,678800.0
13,-502852.0875,749643.75
14,-487646.78125,749643.75
15,-483711.7125,749643.75
16,-454710.3875,865150.0
17,-429107.75625,749643.75
18,-391973.0,829100.0
19,-381857.03125,781750.0
20,-373398.7,781750.0
21,-354778.6875,903700.0
22,-333686.51875,966150.0
23,-293947.25,966150.0
24,-291161.8875,792700.0
25,-284223.19375,792700.0
26,-272952.45,750100.0
27,-302256.25,868093.75
28,-292811.98125,796950.0
29,-255301.775,839000.0
30,-261526.65625,839000.0
31,-252796.475,756700.0
32,-256903.01875,1029150.0
33,-223654.26875,1029150.0
34,-231325.6125,1029150.0
35,-231260.05625,1029150.0
36,-217730.09375,1082100.0
37,-200540.25,1072600.0
38,-184811.84375,1072600.0
39,-190261.15,1073900.0
40,-146442.975,1073900.0
41,-114302.81875,1073900.0
42,-140996.44375,1048150.0
43,-156332.2375,921800.0
44,-160427.725,866100.0
45,-164149.85625,1068550.0
46,-149218.19375,915800.0
47,-188271.29375,915800.0
48,-146001.91875,1052550.0
49,-141880.36875,918250.0
50,-167136.85625,923550.0
51,-162191.75,1077650.0
52,-176464.4375,1077650.0
53,-167404.45,860150.0
54,-159516.4375,857900.0
55,-177039.1125,877600.0
56,-176647.9125,739500.0
57,-176491.075,752700.0
58,-167980.86875,778450.0
59,-174387.64375,899100.0
60,-136325.79375,1052600.0
61,-127895.81875,798450.0
62,-128591.15625,957900.0
63,-134956.1625,1100400.0
64,-125160.575,1100400.0
65,-133028.49375,1069550.0
66,-113176.50625,1069550.0
67,-104150.24375,939793.75
68,-116433.68125,939793.75
69,-101467.6375,893250.0
70,-75720.8125,798600.0
71,-77458.68125,899300.0
72,-92810.94375,962000.0
73,-56041.68125,1180000.0
74,-30549.33125,1180900.0
75,-39234.2,1180900.0
76,-28453.675,1350300.0
77,-17026.925,1350300.0
78,-21967.2875,1018300.0
79,17933.85625,1018300.0
80,18305.31875,1032150.0
81,-5138.25,1200450.0
82,-15523.53125,964750.0
83,10479.425,902200.0
84,-5498.2375,960443.75
85,20563.48125,960443.75
86,23051.64375,1264950.0
87,16833.70625,962750.0
88,15626.23125,1117950.0
89,3242.09375,1117950.0
90,39018.83125,1018550.0
91,35713.95625,1068700.0
92,39951.98125,1219400.0
93,30271.04375,1104900.0
94,38752.80625,1038400.0
95,57689.525,996200.0
96,47246.05,1003650.0
97,52027.05,961450.0
98,80683.78125,890500.0
99,98553.625,1117450.0
100,95096.41875,1082250.0
101,108344.51875,1171900.0
102,107741.09375,1082250.0
103,109834.075,1082250.0
104,117181.575,1225150.0
105,131443.0625,1082250.0
106,112013.3875,1199250.0
107,83656.075,977300.0
108,75505.575,977300.0
109,91564.875,1065400.0
110,105008.425,1229950.0
111,107860.7625,1003850.0
112,99338.54375,984100.0
113,110774.2125,1119400.0
114,109559.54375,1051250.0
115,110572.7625,930500.0
116,79645.86875,1151950.0
117,104973.4,1097100.0
118,95554.16875,1154700.0
119,121142.30625,1094200.0
120,112360.1375,1094650.0
121,111940.5125,1100300.0
122,121429.05625,1100300.0
123,105027.14375,1149350.0
124,131531.61875,1100300.0
125,115246.6125,1100300.0
126,113624.36875,1050450.0
127,157666.0875,1050100.0
128,150842.775,1051200.0
129,179502.5375,1074000.0
130,170534.08125,1074000.0
131,195971.05625,1175900.0
132,197538.20625,1085650.0
133,219200.7125,1121950.0
134,205322.0625,1177100.0
135,204881.8375,1177100.0
136,185198.25625,1177100.0
137,232639.40625,1149750.0
138,232900.35,1122750.0
139,236418.4375,1261650.0
140,225264.7375,1120450.0
141,237404.40625,1130800.0
142,250373.1375,1130800.0
143,260406.63125,1284050.0
144,264430.21875,1284050.0
145,277225.21875,1198950.0
146,277200.1375,1201750.0
147,271891.225,1217050.0
148,258683.55,1252900.0
149,281506.7375,1215750.0
150,278611.64375,1124100.0
151,269694.59375,1183500.0
152,263811.74375,1154100.0
153,271072.76875,1169300.0
154,289900.2375,1348200.0
155,294884.16875,1348200.0
156,308925.7,1348200.0
157,326557.275,1246300.0
158,313506.575,1296800.0
159,333808.85,1333100.0
160,310337.65,1156800.0
161,299476.0125,1156800.0
162,286500.5125,1135700.0
163,309087.26875,1228100.0
164,345897.39375,1379750.0
165,342223.46875,1251050.0
166,342472.0625,1204400.0
167,328795.025,1212800.0
168,350377.99375,1302400.0
169,349220.475,1302400.0
170,343732.59375,1118800.0
171,359478.325,1155800.0
172,351743.71875,1201200.0
173,356490.725,1201200.0
174,359155.99375,1173300.0
175,377701.6875,1173300.0
176,383243.7875,1254500.0
177,372315.39375,1222250.0
178,379983.425,1202200.0
179,372742.15625,1182000.0
180,354679.58125,1301050.0
181,344465.03125,1320200.0
182,351231.78125,1171500.0
183,364456.98125,1300750.0
184,370013.14375,1303200.0
185,385008.21875,1383750.0
186,414250.4,1353850.0
187,417372.81875,1303300.0
188,419381.225,1181450.0
189,429529.65625,1275550.0
190,412122.01875,1281550.0
191,414054.925,1250650.0
192,457996.01875,1250650.0
193,454987.20625,1226850.0
194,446768.9875,1301300.0
195,445947.35625,1422800.0
196,459668.84375,1283900.0
197,467817.44375,1283900.0
198,473417.5125,1283900.0
199,456262.825,1199050.0
200,463338.96875,1243550.0
201,441041.88125,1176550.0
202,455489.26875,1205150.0
203,448759.9375,1475150.0
204,433429.35,1252450.0
205,407884.7875,1352700.0
206,420163.03125,1252250.0
207,414936.56875,1398250.0
208,412368.40625,1198350.0
209,401644.23125,1253100.0
210,422539.73125,1172050.0
211,441729.56875,1326900.0
212,449366.9125,1325350.0
213,434657.36875,1254450.0
214,429736.34375,1351350.0
215,433875.1125,1327850.0
216,459085.875,1301100.0
217,474244.7875,1301100.0
218,480710.66875,1373300.0
219,482692.80625,1323200.0
220,468592.35625,1325650.0
221,470520.7875,1324200.0
222,477021.05,1373450.0
223,465632.325,1201400.0
224,474981.275,1225250.0
225,462303.81875,1182200.0
226,479411.9375,1323700.0
227,474662.26875,1323700.0
228,481132.61875,1219400.0
229,490590.875,1268250.0
230,495658.0375,1270100.0
231,494132.19375,1271250.0
232,524040.54375,1419300.0
233,510025.13125,1419300.0
234,505680.2625,1419300.0
235,512876.975,1419300.0
236,511443.2875,1352100.0
237,531575.06875,1352150.0
238,535231.08125,1320150.0
239,549638.4125,1322800.0
240,564399.28125,1322800.0
241,574833.225,1323200.0
242,573211.525,1420300.0
243,582660.26875,1423200.0
244,568502.88125,1423200.0
245,571720.89375,1423200.0
246,565704.0875,1273900.0
247,564770.925,1405650.0
248,584713.6875,1582050.0
249,561455.8125,1423800.0
250,569330.1625,1423800.0
251,606521.875,1371000.0
252,599717.18125,1371000.0
253,605019.99375,1301050.0
254,594998.39375,1354650.0
255,598261.16875,1401300.0
256,607367.95,1369350.0
257,599910.90625,1371000.0
258,586849.575,1501050.0
259,591011.49375,1501050.0
260,573185.88125,1571850.0
261,579071.10625,1350200.0
262,573664.3875,1373500.0
263,592983.0625,1300100.0
264,577909.61875,1301950.0
265,574530.40625,1371400.0
266,588975.05625,1301950.0
267,596264.5625,1347750.0
268,591456.11875,1520500.0
269,603790.2375,1520500.0
270,611977.25625,1520500.0
271,606411.45625,1520500.0
272,620199.675,1520500.0
273,639881.225,1575900.0
274,648374.3625,1500600.0
275,652380.20625,1622650.0
276,631506.575,1521650.0
277,610937.575,1500600.0
278,619334.5625,1500600.0
279,625078.30625,1366750.0
280,618936.5125,1402250.0
281,639099.7625,1420800.0
282,629944.50625,1320850.0
283,651730.0,1275400.0
284,645759.08125,1326350.0
285,646501.8375,1368300.0
286,635872.4625,1470800.0
287,634715.43125,1403200.0
288,635651.675,1446550.0
289,656008.425,1521900.0
290,654722.8625,1522800.0
291,667451.71875,1522800.0
292,673396.33125,1522800.0
293,680182.65,1503050.0
294,669026.39375,1422700.0
295,683336.91875,1498450.0
296,687413.86875,1374250.0
297,703578.0625,1472600.0
298,682629.2125,1420550.0
299,699830.41875,1549350.0
300,713301.675,1451000.0
301,711438.49375,1470300.0
302,702955.6625,1523700.0
303,716421.18125,1517050.0
304,722130.51875,1623100.0
305,732187.96875,1619200.0
306,727288.275,1454300.0
307,685700.2625,1420400.0
308,696143.325,1399700.0
309,723518.9125,1569850.0
310,725942.06875,1549500.0
311,723245.79375,1525250.0
312,725686.8625,1525250.0
313,716198.31875,1524900.0
314,709142.2625,1574300.0
315,711523.06875,1527750.0
316,703573.03125,1423450.0
317,729300.16875,1430550.0
318,732196.88125,1371350.0
319,727294.9,1469850.0
320,745536.11875,1469850.0
321,739524.2125,1570650.0
322,752086.54375,1570650.0
323,740300.64375,1375000.0
324,729907.45625,1375000.0
325,729535.24375,1572800.0
326,746213.13125,1472900.0
327,756176.19375,1517900.0
328,754989.38125,1570000.0
329,775713.625,1570000.0
330,784970.78125,1575250.0
331,784639.05,1575250.0
332,803443.69375,1575250.0
333,791122.38125,1575250.0
334,795667.98125,1621750.0
335,793625.4875,1574000.0
336,793511.625,1574000.0
337,790757.88125,1518150.0
338,784539.84375,1518150.0
339,788921.89375,1547900.0
340,776877.4875,1575100.0
341,806498.40625,1575100.0
342,837503.51875,1575100.0
343,841914.5875,1575100.0
344,845760.35,1522550.0
345,850127.44375,1672200.0
346,850335.64375,1672200.0
347,829798.89375,1521050.0
348,826933.28125,1499750.0
349,838040.1,1570300.0
350,847139.9125,1474800.0
351,828903.83125,1520550.0
