subject_id,subject,group,students,day,time,start,end,duration,room,room_capacity,room_type,teacher_id,teacher_name,tipo_aula
167391,Introduccion a la Ingenieria de Sistemas,1/3,23,Viernes,20:00-22:00,20,22,2,CS_114,28,teorica,D007,Tiempo completo 7,teorica
167391,Introduccion a la Ingenieria de Sistemas,1/3,23,Jueves,07:00-09:00,7,9,2,TEO1,28,teorica,D007,Tiempo completo 7,teorica
167391,Introduccion a la Ingenieria de Sistemas,2/3,23,Lunes,10:00-12:00,10,12,2,MF107,28,teorica,D001,Tiempo completo 1,teorica
167391,Introduccion a la Ingenieria de Sistemas,2/3,23,Miércoles,20:00-22:00,20,22,2,MF108,28,teorica,D001,Tiempo completo 1,teorica
167391,Introduccion a la Ingenieria de Sistemas,3/3,22,Martes,13:00-15:00,13,15,2,MF106,28,teorica,D001,Tiempo completo 1,teorica
167391,Introduccion a la Ingenieria de Sistemas,3/3,22,Miércoles,16:00-18:00,16,18,2,AULA_TIC,28,teorica,D001,Tiempo completo 1,teorica
167390,Pensamiento Computacional,1/3,21,Lunes,19:00-22:00,19,22,3,JG_211,28,teorica,D014,Catedra 2,teorica
167390,Pensamiento Computacional,1/3,21,Jueves,18:00-21:00,18,21,3,FJ103-1_ALTO_RENDIMIENTO,28,practica,D014,Catedra 2,practica
167390,Pensamiento Computacional,2/3,21,Jueves,15:00-18:00,15,18,3,JG_211,28,teorica,D016,Catedra 4,teorica
167390,Pensamiento Computacional,2/3,21,Viernes,19:00-22:00,19,22,3,JG102-2_TIC,28,practica,D016,Catedra 4,practica
167390,Pensamiento Computacional,3/3,21,Jueves,19:00-22:00,19,22,3,TEO1,28,teorica,D003,Tiempo completo 3,teorica
167390,Pensamiento Computacional,3/3,21,Martes,19:00-22:00,19,22,3,FJ103-2_ING_SOFT,28,practica,D003,Tiempo completo 3,practica
167392,Fundamentos de Programacion,1/4,28,Lunes,16:00-19:00,16,19,3,MF106,28,teorica,D006,Tiempo completo 6,teorica
167392,Fundamentos de Programacion,1/4,28,Martes,10:00-13:00,10,13,3,JG102-2_TIC,28,practica,D006,Tiempo completo 6,practica
167392,Fundamentos de Programacion,2/4,28,Jueves,12:00-15:00,12,15,3,CS_114,28,teorica,D006,Tiempo completo 6,teorica
167392,Fundamentos de Programacion,2/4,28,Viernes,19:00-22:00,19,22,3,JG102-1_CICOM,28,practica,D006,Tiempo completo 6,practica
167392,Fundamentos de Programacion,3/4,27,Lunes,16:00-19:00,16,19,3,AULA_TIC,28,teorica,D016,Catedra 4,teorica
167392,Fundamentos de Programacion,3/4,27,Martes,10:00-13:00,10,13,3,FJ103-2_ING_SOFT,28,practica,D016,Catedra 4,practica
167392,Fundamentos de Programacion,4/4,27,Viernes,10:00-13:00,10,13,3,MF107,28,teorica,D013,Catedra 1,teorica
167392,Fundamentos de Programacion,4/4,27,Martes,07:00-10:00,7,10,3,FJ103-1_ALTO_RENDIMIENTO,28,practica,D013,Catedra 1,practica
167393,Gestion de Proyectos,1/3,22,Miércoles,20:00-22:00,20,22,2,MF107,28,teorica,D008,Tiempo completo 8,teorica
167393,Gestion de Proyectos,1/3,22,Jueves,10:00-12:00,10,12,2,LAB1,28,practica,D008,Tiempo completo 8,practica
167393,Gestion de Proyectos,2/3,21,Martes,17:00-19:00,17,19,2,JG_211,28,teorica,D001,Tiempo completo 1,teorica
167393,Gestion de Proyectos,2/3,21,Jueves,17:00-19:00,17,19,2,LAB1,28,practica,D001,Tiempo completo 1,practica
167393,Gestion de Proyectos,3/3,21,Viernes,14:00-16:00,14,16,2,CS_114,28,teorica,D014,Catedra 2,teorica
